ts,city,state,event,year,year_mon,ymd,yw,department
2014-11-13 15:33:59,Viginia Key,Florida,"PRELIM INFO FROM FAA OPS: VIRGINIA KEY, FL/UAS INCIDENT/1534E/MIA TRACON RECEIVED REPORT FROM AMERICAN 397, B737, SJU-MIA, OBSERVED A CYLINDRICAL RED AND SILVER UAS HEADING EASTBOUND AT 8,000 FEET 6 W VIRGINIA KEY, FL. MIAMI DADE PD NOTIFIED. ",2014,201411,2014-11-13,201446,MIAMI DADE PD NOTIFIED
2014-11-13 16:44:00,Las Vegas,Nevada,"PRELIM INFO FROM FAA OPS: LAS VEGAS, NV/UAS INCIDENT/1644P/LAS VEGAS ATCT ADVISED MERCY AIR 21, HELICOPTER, 3 NW LAS AT 2,800 FEET W BOUND, REPORTED A UAS OFF THE RIGHT SIDE OF THE AIRCRAFT HEADING N BOUND. NO CONFLICTS REPORTED. LAS VEGAS METRO PD NOTIFIED.",2014,201411,2014-11-13,201446,LAS VEGAS METRO PD NOTIFIED
2014-11-14 13:54:59,Los Angeles,California,"PRELIM INFO FROM FAA OPS: LAX/UAS INCIDENT/1355P/SCT RECEIVED REPORT FROM CANADA REGISTERED ROUGE 1874, A319, CYYC-LAX, OBSERVED A PURPLE UAS AT 2,600 FEET 6 E LAX. LEOS NOTIFIED. ",2014,201411,2014-11-14,201446,LEOS NOTIFIED
2014-11-14 16:09:00,Norfolk,Virginia,"PRELIM INFO FROM FAA OPS: ORF/UAS INCIDENT/1609E/ORF ATCT ADVISED PA32, AT 3,000 FEET REPORTED A UAS OFF RIGHT SIDE OF ACFT AT 2,100 FEET FLYING AT 85 KNOTS 20 S ORF. UAS HAD A TRANSPONDER AND SQUAWKING. TARGET WILL BE TRACKED ATC. ",2014,201411,2014-11-14,201446,NA
2014-11-14 18:58:00,Scottsdale,Arizona,"PRELIM  INFO FROM FAA OPS: SCOTTSDALE, AZ/UAS INCIDENT/1858P/PHOENIX TRACON ADVISED THAT A CITIZEN REPORTED A UAS WITH MULTIPLE LIGHTS WAS FLYING ABOUT 100 FEET ABOVE HIS HOME , SCOTTSDALE. PHOENIX PD NOTIFIED .",2014,201411,2014-11-14,201446,PHOENIX PD NOTIFIED
2014-11-15 14:29:59,Tuscaloosa,Alabama,"PRELIM INFO FROM FAA OPS: TUSCALOOSA, AL/UAS INCIDENT/11-15 1430C/LEO'S REPORTED UAS OPERATION IN TFR OUTSIDE UNIVERSITY OF ALABAMA FOOTBALL STADIUM PRIOR TO GAME. DURING ATTEMPTED LANDING UAS STRUCK BYSTANDER IN MIDSECTION. LEO'S RESPONDED. FSDO INVESTIGATING INCIDENT. NO REPORTED INJURY TO INDIVIDUAL STRUCK BY UAS.",2014,201411,2014-11-15,201446,NA
2014-11-15 19:09:59,Fort Lauderdale,Florida,"PRELIM INFO FROM FAA OPS: FORT LAUDERDALE, FL/UAS INCIDENT/1910E/FLL ATCT ADVISED ROBINSON R44 REPORTED A UAS WITH A SINGLE RED LIGHT FLYING AT 700 FEET 5 W FLL. BROWARD SHERIFF NOTIFIED",2014,201411,2014-11-15,201446,BROWARD SHERIFF NOTIFIED
2014-11-18 17:10:00,New York,New York,"PRELIM INFO FROM FAA OPS: NEW YORK, NY/UAS INCIDENT/1710E/JETBLUE CORPORATION REPORTED JETBLUE 1572, A319, SAW POSSIBLE UAS FLY UNDER NOSE OF ACFT WHILE INBOUND TO LA GUARDIA ARPT BETWEEN 1,500 AND 2,000 FEET ON 11-18 AT 1639E. ",2014,201411,2014-11-18,201447,NA
2014-11-19 13:57:00,New York,New York,"PRELIM INFO FROM FAA OPS: NEW YORK, NY/UAS INCIDENT/1357E/JFK ATCT ADVISED JETBLUE 842, A320, SAVANNAH, GA - JFK, ON 2 MILE FINAL FOR RUNWAY 31R OBSERVED A UAS OPERATING AT 300-400 FEET. NASSAU COUNTY PD AND NYPD AVIATION UNIT NOTIFIED. ",2014,201411,2014-11-19,201447,NASSAU COUNTY PD AND NYPD AVIATION UNIT NOTIFIED
2014-11-19 16:17:00,Boston,Massachusetts,"PRELIM INFO FROM FAA OPS: BOSTON, MA/UAS INCIDENT/1617E/BOSTON ATCT ADVISED LOCAL VFR HELICOPTER SPOTTED A LARGE UAS ORBITING AT 400 FEET IN CLASS B AIRSPACE 5 SW BOSTON LOGAN INTERNATIONAL ARPT. MASSACHUSETTS STATE POLICE NOTIFIED. ",2014,201411,2014-11-19,201447,MASSACHUSETTS STATE POLICE NOTIFIED
2014-11-20 14:50:00,New York,New York,"PRELIM INFO FROM FAA OPS: NEW YORK, NY/UAS INCIDENT/1450E/LGA REPORTED SIKORSKY S76B OBSERVED 2 UAS OPERATING AT 500 FEET 4 W LGA, VCNTY EAST RIVER 59TH STREET BRIDGE. ",2014,201411,2014-11-20,201447,NA
2014-11-21 13:02:59,Fort Rucker,Alabama,"PRELIM INFO FROM FAA OPS: FORT RUCKER, AL/UAS INCIDENT/1303C/TEXAN 2, T6, REPORTED NMAC WITH UAS, 4 S CAIRNS AAF AIRPORT, AT 2,000 FEET. UAS WAS 6-10 FEET IN LENGTH. LEOS NOTIFIED (MILITARY PD).",2014,201411,2014-11-21,201447,LEOS NOTIFIED
2014-11-21 16:57:00,Macon,Georgia,"PRELIM INFO FROM FAA OPS: MACON, GA/UAS INCIDENT/1657E/MACON ATCT ADVISED THAT HAWKER BEECHCRAFT BE35 PASSED A UAS ON HIS LEFT SIDE WHILE SOUTHBOUND AT 2,500 FEET JUST NORTH OF THE MEDICAL CENTER OF CENTRAL GEORGIA. UAS DESCRIBED AS  LIGHTED BLACK AND RED IN COLOR AND ABOUT 14 INCHES IN DIAMETER.  UNKN IF LEOS NOTIFIED. ",2014,201411,2014-11-21,201447,UNKN IF LEOS NOTIFIED
2014-11-24 14:50:00,Beaumont,Texas,"PRELIM INFO FROM FAA OPS: BEAUMONT, TX/UAS INCIDENT/1450C/HOUSTON ARTCC ADVISED THUNDER WINGS AVIATION 303, CESSNA C501, 50 N BPT AT FL200 REPORTED A UAS 2 FEET IN DIAMETER APPROXIMATELY 1,000 FEET BELOW. NO CONFLICTS REPORTED. LEOS NOTIFIED.",2014,201411,2014-11-24,201448,LEOS NOTIFIED
2014-11-28 11:25:00,Santa Ana,California,"PRELIM INFO FROM FAA OPS: JOHN WAYNE ARPT, SANTA ANA, CA/UAS INCIDENT/1125P/SOUTHERN CALIFORNIA TRACON  ADVISED PIPER PA28 REPORTED A UAS HOVERING BETWEEN 2,000 - 3,000 FEET 4 MILES SOUTH OF JOHN WAYNE ARPT. NO DESCRIPTION OF THE UAS WAS GIVEN OR EVASIVE ACTIONS TAKEN. ORANGE COUNTY PD NOTIFIED.",2014,201411,2014-11-28,201448,ORANGE COUNTY PD NOTIFIED
2014-11-28 11:50:00,West Palm Beach,Florida,"PRELIM INFO FROM FAA OPS: WEST PALM BEACH, FL/UAS INCIDENT/1150E/WEST PALM BEACH ATCT REPORTED SEVERAL ACFT : NORTH AMERICAN NAVI; DASSAULT F2TH; AND NETJETS 955, CESSNA C750, ALL WESTBOUND ON 1 MILE FINAL FOR RUNWAY 28R REPORTED A UAS OVER THE BEACH DESCRIBED AS A ""GO PRO"" AT 700 TO 800 FEET.  NO EVASIVE ACTIONS TAKEN. PALM BEACH COUNTY SHERIFF NOTIFIED , POLICE HELICOPTER EAGLE 1 SEARCHING THE AREA. ",2014,201411,2014-11-28,201448,PALM BEACH COUNTY SHERIFF NOTIFIED
2014-11-28 15:35:00,Beverly,Massachusetts,"PRELIM INFO FROM FAA OPS: BEVERLY MUNI ARPT, MA/UAS INCIDENT/1535E/BOSTON TRACON ADVISED  CESSNA C175 REPORTED A BLACK UAS WITH A SINGLE RED LIGHT, BETWEEN 3 - 10 FEET WIDE IN THE VCNTY OF BEVERLY MUNI ARPT AT 8,500 FEET. NO EVASIVE ACTIONS TAKEN OR NO LEO NOTIFIED. ",2014,201411,2014-11-28,201448,LEO NOT NOTIFIED
2014-11-29 11:28:00,Houston,Texas,"PRELIM INFO FROM FAA OPS: HOUSTON INT'L, TX/UAS INCIDENT/1128C/HOUSTON TRACON ADVISED EXPRESSJET 4277, E145, REPORTED A UAS HAD PASSED OFF OF HIS LEFT SIDE AT 2,500 FEET 14 MILES SE HOUSTON INT'L ARPT. NO EVASIVE ACTION TAKEN. NO DESCRIPTION GIVEN. LOCAL FBI NOTIFIED.",2014,201411,2014-11-29,201448,LOCAL FBI NOTIFIED
